Code;Gencod;Long_Name;Short_Name;VAT_Code;Purchase_Price;Nomenclature;SousFamilleDistri_Code;FamilleDistri_Code;Categorie_Code
415336;3256225825486;24 BATONNET GERANIUMS U       ;24 BATONNET GE;2 ;1.08;0320740510;30;580;8 
733360;7322540709254;6X10 ETUIS MOUCH.EXTRAIT LOTUS;6X10 ETUIS MOU;2 ;0.41;0120162000;20;670;3 
454932;3256220275392;250G BQ RAISINS SULTANINES U  ;250G BQ RAISIN;1 ;1.22;0230361584;10;120;8 
533320;3281780880687;240ML GREEN TEA GRENADE RAISIN;240ML GREEN TE;1 ;0.67;0240391525;46;418;3 
306480;3176584489009;150G FONDUE RICHES MONTS      ;150G FONDUE RI;1 ;1.34;0225284500;28;420;3 
005539;3760171490198;150ML SRAY SPF50+ EXT.IMMORTEL;150ML SRAY SPF;2 ;9.42;0120154500;99;650;3 
115512;3175333021002;100G APERIVRAIS PROVENCAL     ;100G APERIVRAI;1 ;1.58;0225284505;20;420;3 
052324;3435660693731;800G ROTI DINDE FARCI CEPES   ;800G ROTI DIND;1 ;5.87;0215243020;56;390;ZZ
207555;3000000511299;EPICEA COUPE 150/200+CROISILLO;EPICEA COUPE 1;4 ;8.05;0230363001;40;451;ZZ
045254;3076820660219;BX 21CL EPIS MAIS NAINS CRESPO;BX 21CL EPIS M;1 ;1.06;0105043510;20;140;3 
454704;3256220269742;200G TZATZIKI U               ;200G TZATZIKI ;1 ;0.83;0240401515;4 ;491;8 
345769;3266140051655;500G SAC RAVIOLES SURGELES    ;500G SAC RAVIO;1 ;4.21;0215244512;55;390;3 
153374;3517140010013;6X50CL PACK B.SPORT EAU SOURC ;6X50CL PACK B.;1 ;0.96;0220262005;11;320;3 
040880;3760112650711;80G BROCHETTES SAUMON         ;80G BROCHETTES;1 ;1.49;0245440505;10;470;ZZ
007507;3421112360351;600G POIVRONS GRILLÉS PATRIGEL;600G POIVRONS ;1 ;2.91;0215244500;20;390;3 
481808;5410312900359;2.5KG CHARBON/BOIS GRILL.1ER P;2.5KG CHARBON/;2 ;1.77;0320742005;20;530;1 
175318;3073780807951;200G COUSTERON 50%MG          ;200G COUSTERON;1 ;1.74;0225281500;8 ;420;3 
076417;3760170269597;FER VAPEUR EVATRONIC 26959    ;FER VAPEUR EVA;2 ;8.5;0305550505;35;540;3 
323571;3218012005242;BLOC 3P 10/16A+T+PEPINTER     ;BLOC 3P 10/16A;2 ;3.74;0320721505;40;610;3 
353550;8713354058017;268G 2 CHEESBURGER TONY TIME  ;268G 2 CHEESBU;1 ;1.46;0240391015;52;380;4 
480381;3490900000106;PARAPLUIES ENFANT             ;PARAPLUIES ENF;2 ;3.59;0420972500;2 ;710;ZZ
575631;3256223376485;CULOT.BB 16KG ET + U TT PT X18;CULOT.BB 16KG ;2 ;3.74;0120161005;40;670;8 
