Code;Gencod;Long_Name;Short_Name;VAT_Code;Purchase_Price;Nomenclature;SousFamilleDistri_Code;FamilleDistri_Code;Categorie_Code
419453;3660992600687;100 ASS.PLASTIQUE BLC BIEN VU ;100 ASS.PLASTI;2 ;1.87;0305553005;90;540;9 
429961;3229820762692;2X200GR TOFU NATURE BJORG     ;2X200GR TOFU N;1 ;2.16;0105071505;60;260;3 
001802;3392460460409;250G CRACKER DE TABLE NATURE  ;250G CRACKER D;1 ;1.14;0105010505;40;10 ;3 
564630;3265478858004;330ML VIN. LEGERE BALSAM/TOM S;330ML VIN. LEG;1 ;1.73;0105032510;47;140;3 
443046;3256224236337;4X125G CR.DESSERT CHOCOLAT U  ;4X125G CR.DESS;1 ;0.69;0225291005;31;418;8 
627941;3256222973807;BAD MEDIUM BLANCHEUR BY U X2  ;BAD MEDIUM BLA;2 ;1.32;0120151015;36;650;10
552887;3256224234463;1L LAIT UHT 1/2 ECRÉMÉ U      ;1L LAIT UHT 1/;1 ;0.56;0225321005;40;90 ;ZZ
531904;3368952621207;1L LIMONADE ANCIENNE SAV.U    ;1L LIMONADE AN;1 ;1.31;0110100505;10;300;15
441248;3256220270571;6X LEVURE CHIMIQUE U          ;6X LEVURE CHIM;1 ;0.19;0105030520;40;80 ;8 
399768;3021761203131;4X90G POM POTE ALLEG POM POIRE;4X90G POM POTE;1 ;1.41;0105061010;85;200;3 
664846;8001665127950;250G CAPELLETI JAMB CRU RANA  ;250G CAPELLETI;1 ;1.65;0240390515;35;380;3 
039114;3029330002406;250G 2 DEMI BAGUET.JACQUET    ;250G 2 DEMI BA;1 ;0.74;0210210545;91;20 ;3 
918986;3142920029338;75CL IGP OC "COOL RAOUL" RSE12;75CL IGP OC "C;2 ;1.98;0110111010;11;340;ZZ
153374;3517140010013;6X50CL PACK B.SPORT EAU SOURC ;6X50CL PACK B.;1 ;0.98;0110103005;11;320;3 
553257;3256224234555;1L LAIT UHT BIO 1/2 ECREME U  ;1L LAIT UHT BI;1 ;0.82;0225321015;40;90 ;ZZ
631843;3660861018797;2X500G TORSETTE 3MIN LUSTU.OS ;2X500G TORSETT;1 ;1.56;0105042005;24;110;ZZ
438651;3256220653381;75CL ALSACE BLC SYLVANER U    ;75CL ALSACE BL;2 ;2.22;0110111010;50;340;8 
211203;5053990114849;210G  PRINGLES HOT&SPICY      ;210G  PRINGLES;1 ;1.49;0105020505;10;20 ;ZZ
336100;0000030000117;1/10 PATE PUR PORC      HENAFF;1/10 PATE PUR ;1 ;0.79;0105050505;10;230;3 
895529;4008400895529;200G 16 KINDER CHOC(CU)       ;200G 16 KINDER;2 ;0.98;0105021505;61;70 ;ZZ
521501;3228470030151;10 CAPS L OR ESPRESSO OR ROSE ;10 CAPS L OR E;1 ;2.66;0105011005;38;30 ;3 
572073;3095751510011;160G 4TR ROTI DE POULET CUIT  ;160G 4TR ROTI ;1 ;1.85;0240381545;18;380;3 
013029;3538280000511;LOT 3X100G CHOCOL CROQ POULAIN;LOT 3X100G CHO;1 ;1.9;0105021505;20;60 ;3 
913164;3133200065665;64 DEMAK UP DISQUES SENSITIVE ;64 DEMAK UP DI;2 ;1.06;0120162505;12;670;3 
677823;3017800207901;4/4 HARICOTS VERTS XFIN RANGES;4/4 HARICOTS V;1 ;1.1;0105043505;20;210;3 
146775;3608580796909;320G CONF.4FRUITS BONNE MAMAN ;320G CONF.4FRU;1 ;1.2;0105012505;10;200;3 
722474;5000204699784;PIEGES ANTI-FOURMIS RAID      ;PIEGES ANTI-FO;2 ;1.83;0115142505;64;510;3 
547442;3162050019597;65G FLACON VERMICELLE MULTICOL;65G FLACON VER;2 ;0.9;0105030515;40;80 ;3 
038605;3340950203098;180G TERRINE CANARD   GARIBOTE;180G TERRINE C;1 ;1.11;0105050505;20;230;4 
477061;3256221111804;500G VERMICELLE Q.S. CELLO U  ;500G VERMICELL;1 ;0.44;0105042025;10;110;8 
413774;3256226755690;200G SACHET COTON PREDECOUPE U;200G SACHET CO;2 ;0.86;0120162505;10;670;8 
003109;0000000003109;ORANGE NAVELINE 2KG 5/6       ;ORANGE NAVELIN;1 ;1.45;0230349900;91;440;ZZ
909262;3178040699458;POWER GEL TAFT EFF.MOUIL.300ML;POWER GEL TAFT;2 ;3.31;0120150510;40;640;3 
016483;7622210284426;200G NAPOLITAIN LE GATEAU LU  ;200G NAPOLITAI;1 ;1.25;0105021010;50;20 ;3 
389357;3256221212204;250G CACAHUET.GRIL/SALEES U   ;250G CACAHUET.;1 ;0.75;0105020505;18;20 ;8 
526983;7613034690036;6X1L MAGNUM PERRIER P.E.T     ;6X1L MAGNUM PE;1 ;3.28;0110103005;30;320;ZZ
502939;3367651002874;230G MOELLEUX  JAMB/OEUF/CRUD ;230G MOELLEUX ;1 ;1.43;0240391505;52;380;3 
009112;0000000009112;(FL)POIRE COMICE OR           ;POIRE COMIC OR;1 ;2.63;0230349900;91;440;ZZ
394629;3256222113722;1/2 CAROTTES EXTRA FINES U    ;1/2 CAROTTES E;1 ;0.5;0105043505;28;210;8 
092162;3281780888201;320G MENU VEGETARIEN MARTINET ;320G MENU VEGE;1 ;2.48;0240391520;53;380;3 
077887;4015400863571;ARIEL LIQU.FEBREZE 1.5L 23LAV ;ARIEL LIQU.FEB;2 ;5.85;0115130505;15;500;3 
032099;3533631572006;BTLE 1L  LAIT 1/2 ECREM CANDIA;BTLE 1L  LAIT ;1 ;0.7;0225321005;40;90 ;ZZ
126589;3103220009819;250G SACHET CARENSAC          ;250G SACHET CA;2 ;1.31;0105022515;64;70 ;3 
436104;3223920620128;PQ 1KG  COUSCOUS MOYEN FERRERO;PQ 1KG  COUSCO;1 ;1.88;0105041005;40;100;3 
686864;3256224061588;200G SAUCE PROVENÇALE U       ;200G SAUCE PRO;1 ;0.4;0105034510;90;140;8 
676754;3045320517699;4X100G CREME CARAMEL B MAMAN  ;4X100G CREME C;1 ;1.17;0225291005;35;418;3 
417540;3256223510421;1.5L PET EAU AROMATISE PECHE U;1.5L PET EAU A;1 ;0.86;0110103005;20;320;8 
453596;3256220126366;400G NOIX  ST JACQUES 20/40 U ;400G NOIX  ST ;1 ;5.09;0215242510;40;390;8 
175651;3033490906290;4X125G DANETTE VANILLE  DANONE;4X125G DANETTE;1 ;1.14;0225291005;31;418;3 
178308;3033490178000;4X125G FJORD NATURE     DANONE;4X125G FJORD N;1 ;1.61;0225291010;5 ;418;3 
510315;3256223510315;EAU NAT.GAZEUSE U 1(CU)       ;EAU NAT.GAZEUS;1 ;0.26;0110103005;30;320;ZZ
006771;3108020983017;6 X 125CL VICHY CELESTIN      ;6 X 125CL VICH;1 ;3.29;0110103005;30;320;3 
040505;3119780259007;6X25CL PACK HEINEKEN    5*    ;6X25CL PACK HE;2 ;3.02;0110102005;30;310;3 
436536;3256220368230;200G SABLES AMANDES CIT.U BIO ;200G SABLES AM;1 ;1.35;0105021005;50;260;11
411780;3256223412589;75 CL VDP D OC GRIS MADRIOU U ;75 CL VDP D OC;2 ;1.54;0110110510;11;340;8 
443818;3256221408485;4X100G FILET DE COLIN ALASKA U;4X100G FILET D;1 ;1.88;0215242505;41;390;8 
252025;3256222252025;LINGETTES SOL AGRUMES U(CU)   ;LINGETTES SOL ;2 ;0.68;0115131545;35;510;ZZ
411706;3256220210072;5X30G MINI FOURRE CHOCOLAT U  ;5X30G MINI FOU;1 ;0.65;0105021010;50;20 ;8 
760650;8410650201207;1.5KG CROQU.CHAT STER+10.ULTIM;1.5KG CROQU.CH;2 ;4.5;0105081005;34;270;3 
418732;3256220030748;500G POT MIEL MILLE F/EUROPE U;500G POT MIEL ;1 ;2.34;0105012515;35;200;8 
659663;3165951713014;1/4 THON NATUREL     SAUPIQUET;1/4 THON NATUR;1 ;1.74;0105051005;20;220;3 
NULL;3124480182722;SCHWEPPES 33CL ASS.           ;SCHWEPPES 33CL;2 ;0.45;0110100505;15;300;3 
667933;3033490819880;4X100G GERVITA COCO           ;4X100G GERVITA;1 ;1.55;0225291010;11;418;3 
822517;3255460156607;SUPER GLUE   GEL              ;SUPER GLUE   G;2 ;2.21;0320750525;40;610;3 
021925;3175528450242;BTLE 6X25CL MINI VILLAG.BLANC ;BTLE 6X25CL MI;2 ;2.62;0110110505;20;330;3 
024965;3273220081013;6X100G SOJASUN NATURE BIFIDUS ;6X100G SOJASUN;1 ;1.43;0225291515;20;418;3 
176851;3033490192037;4X100G GERVITA FRAISE MELBA   ;4X100G GERVITA;1 ;1.51;0225291010;11;418;3 
511001;3116430208934;PQ 150G DELICHOC LAIT  DELACRE;PQ 150G DELICH;1 ;1.17;0105021005;34;20 ;3 
009081;0000000009081;(FL)POT AU(CU)                ;POT AU FEU    ;1 ;1.35;0105012000;91;450;ZZ
013794;3255537505079;70CL RHM BLC ST JAMES IMPE 40°;70CL RHM BLC S;2 ;8.09;0110121020;50;370;3 
463397;8001060001329;190G SCE ARRABIATA SACLA      ;190G SCE ARRAB;1 ;1.37;0105034510;90;140;3 
944131;3256222990477;3L IGP GRIS ST ROMAN U BIO    ;3L IGP GRIS ST;2 ;8.15;0110110510;13;340;11
627682;3256222973777;BAD BLANCHEUR SOUPLE BY U X2  ;BAD BLANCHEUR ;2 ;1.32;0120151015;36;650;10
875617;3068111301246;1KG BTE FARINE COMPLETE       ;1KG BTE FARINE;1 ;1.44;0105031005;10;100;3 
390162;3256221011302;1KG GRAIN.COUSCOUS MOYEN Q.S U;1KG GRAIN.COUS;1 ;1.0;0105041005;40;100;8 
NULL;3256220659925;CORBIERES RG PLUVIERS U11 75CL;CORBIERES RG P;2 ;1.37;0110111010;30;340;8 
029451;3600550029451;200ML MENNEN GEL RASER BAR(CU);200ML MENNEN G;2 ;2.03;0120151510;37;650;ZZ
004084;0000000004084;(FL)ARTICHAUT BLANC           ;ARTICHAUT BLAN;1 ;0.55;0105012000;93;450;ZZ
346008;3045320008401;350G CONFITURE ALL FRAISE ANDR;350G CONFITURE;1 ;1.34;0105012505;12;200;3 
132475;3254950008204;BQ 300G GAT/ROULE CHOCOL      ;BQ 300G GAT/RO;1 ;0.89;0210230510;95;20 ;3 
443907;3256224701132;1KG PRINTANIERE DE LEGUMES U  ;1KG PRINTANIER;1 ;0.88;0215244015;21;390;8 
050001;3141360050001;750ML GEL FLACON CA(CU)       ;750ML GEL FLAC;2 ;3.11;0115130525;80;500;ZZ
535097;3700484801991;75CL LUSSAC  CH GD BOIS RG 13 ;75CL LUSSAC  C;2 ;4.9;0110111010;32;340;3 
058029;3600550752373;50ML DEO MENEN STICK MUSK     ;50ML DEO MENEN;2 ;2.26;0120152005;57;650;3 
504054;3256220510158;BLOC WC DBL.ACTION MARINE U36G;BLOC WC DBL.AC;2 ;0.56;0115131530;50;510;8 
475386;3660992004942;500G PETIT BRIE 32% BIEN VU   ;500G PETIT BRI;1 ;2.38;0225280505;3 ;420;9 
438203;3256220024068;75CL BOCAL JUS CAROTTES U BIO ;75CL BOCAL JUS;1 ;1.17;0110101505;40;300;11
259170;3700454300059;BTE 4 OEUFS BIO GROS          ;BTE 4 OEUFS BI;1 ;1.36;0225330505;7 ;417;4 
240008;5410228225348;12X25CL BIERE ABBAYE DE LEFFE ;12X25CL BIERE ;2 ;6.08;0110102005;30;310;3 
645151;3045670001954;BOX PAPIER CADEAU CLASSIQUE   ;BOX PAPIER CAD;2 ;0.79;0305600505;10;600;3 
208682;3099873045864;70CLX40* WHISKY JACK DANIEL S ;70CLX40* WHISK;2 ;16.44;0110121005;80;370;3 
